name	location	gs_pubs	gs_hindex	gs_i10index	gs_citations
Gail-Joon Ahn	Arizona State University	253	39	94	5704
Robert K. Atkinson	Arizona State University	72	21	28	3255
Chitta Baral	Arizona State University	302	34	86	6253
Rida A. Bazzi	Arizona State University	61	16	23	821
Winslow S. Burleson	Arizona State University	124	22	36	2210
Yi Chen	Arizona State University	3000	67	643	26755
Hasan Davulcu	Arizona State University	107	18	25	1304
Sandeep K. S. Gupta	Arizona State University	296	46	118	7101
Dijiang Huang	Arizona State University	224	27	54	2343
Subbarao Kambhampati	Arizona State University	323	43	135	6854
Joohyung Lee	Arizona State University	70	20	32	1680
Brian C. Nelson	Arizona State University	72	19	26	1512
Hessam S. Sarjoughian	Arizona State University	187	24	65	1978
Aviral Shrivastava	Arizona State University	136	20	47	1226
Kurt A. VanLehn	Arizona State University	315	55	150	13807
Yalin Wang	Arizona State University	2971	42	385	16014
Jieping Ye	Arizona State University	225	47	115	7158
Yong Chen	Texas Tech University	125	17	25	902
Larry Don Pyeatt	Texas Tech University	51	9	9	653
Akbar Siami-Namin	Texas Tech University	38	7	6	440
Mohan Sridharan	Texas Tech University	110	13	18	754
Sanjeev Baskiyar	Auburn University	39	9	9	307
James Cross	Auburn University	62	14	17	2750
Munawar Hafiz	Auburn University	48	14	15	463
Wei-Shinn Ku	Auburn University	110	21	43	1336
Xiao Qin	Auburn University	708	30	120	4058
Levent Yilmaz	Auburn University	279	16	32	1031
Weikuan Yu	Auburn University	240	21	43	2098
Yury Makarychev	Toyota Technological Institute at Chicago	44	17	25	990
Gregory Shakhnarovich	Toyota Technological Institute at Chicago	61	22	25	3459
Madhur Tulsiani	Toyota Technological Institute at Chicago	40	14	17	722
Jinbo Xu	Toyota Technological Institute at Chicago	130	25	45	2367
Jonathan Appavoo	Boston University	66	19	25	1552
Azer Bestavros	Boston University	358	50	132	15380
John Byers	Boston University	149	39	61	9124
Mark E. Crovella	Boston University	207	58	102	21879
Sharon Goldberg	Boston University	38	14	16	567
George Kollios	Boston University	130	38	58	6489
Ibrahim Matta	Boston University	229	35	77	6581
Leonid Reyzin	Boston University	89	29	47	5084
Stan Sclaroff	Boston University	246	53	114	13307
Hongwei Xi	Boston University	114	23	33	2550
Norman Ramsey	Tufts University	106	20	36	1883
Benjamin Hescott	Tufts University	18	6	1	72
Remco Chang	Tufts University	111	19	24	1048
Lenore Jennifer Cowen	Tufts University	95	22	38	1843
Samuel Z. Guyer	Tufts University	66	17	23	1802
Soha Hassoun	Tufts University	90	16	28	1658
Pengyu Hong	Brandeis University	69	19	29	1654
Olga Papaemmanouil	Brandeis University	32	10	10	392
Nianwen Xue	Brandeis University	106	23	36	2984
Jason Cong	UCLA	142	64	113	11415
Milos Ercegovac	UCLA	320	35	102	5576
Eleazar Eskin	UCLA	228	52	108	14767
Deborah Estrin	UCLA	678	112	301	93147
Richard Korf	UCLA	179	45	89	9029
Songwu Lu	UCLA	1062	61	237	22993
Rupak Majumdar	UCLA	286	47	102	8991
Adam Meyerson	UCLA	91	27	43	4769
Glenn Reinman	UCLA	120	27	55	2406
Majid Sarrafzadeh	UCLA	616	52	210	10038
Stefano Soatto	UCLA	327	55	136	11955
Zhuowen Tu	UCLA	86	36	62	6087
Jennifer Vaughan	UCLA	50	21	29	1516
Song Chun Zhu	UCLA	196	46	108	11377
Michael A. Goodrich	Brigham Young University	214	35	82	5298
Charles D. Knutson	Brigham Young University	99	13	21	696
Thomas W. Sederberg	Brigham Young University	150	46	82	10567
Quinn Snell	Brigham Young University	111	15	22	1459
Daniel M. A. Zappala	Brigham Young University	63	21	25	3655
Bjorn Hartmann	UC Berkeley	111	28	47	3275
David Culler	UC Berkeley	474	111	251	76230
David Wagner	UC Berkeley	271	70	154	30232
Dawn Song	UC Berkeley	285	75	167	29997
